b_pair_date;b_parent_f;b_parent_f_id;b_parent_m;b_parent_m_id;b_breeding_colony;b_count_eggs;b_count_hatching;b_count_fledgling
03.04.2011;Tintifax;99021;Lilu;1;Burghausen;3;3;3
16.04.2012;Tintifax;99021;Lilu;1;Burghausen;1;1;0
16.04.2012;Goja;99098;Ayla;4;Burghausen;4;3;3
16.04.2012;Jack;2;Marketa;3;Burghausen;3;3;3
20.05.2012;Pepe;9;Mikesch;5;Burghausen;1;1;1
06.06.2012;Gonzo;6;Lilu;1;Burghausen;2;1;1
09.04.2013;Tintifax;99021;Ayla;4;Burghausen;3;2;0
23.03.2013;Jack;2;Marketa;3;Burghausen;4;2;1
09.04.2013;Frodo;12;Lilu;1;Burghausen;2;0;0
19.04.2013;Amore;13;Sara;99074;Burghausen;3;0;0
20.04.2013;Pepe;9;Hella;10;Burghausen;4;0;0
28.04.2013;Gonzo;6;Mikesch;5;Burghausen;4;3;3
01.05.2013;Bima;8;Alpha;11;Burghausen;3;2;2
05.04.2014;Jack;2;Marketa;3;Burghausen;2;2;2
05.04.2014;Frodo;12;Ayla;4;Burghausen;3;1;1
16.04.2014;Amore;13;Julio;7;Burghausen;4;3;3
19.04.2014;Bima;8;Hella;10;Burghausen;3;2;2
28.04.2014;Zeudi;25;Saba;22;Kuchl;3;2;1
28.04.2014;Salem;17;Semir;24;Kuchl;2;1;1
14.05.2014;Pepe;9;Lilu;1;Burghausen;3;2;2
11.06.2014;Gonzo;6;Mikesch;5;Burghausen;3;2;1
22.03.2015;Zeudi;25;Saba;22;Kuchl;4;4;4
02.04.2015;Salem;17;Semir;24;Kuchl;4;4;3
22.03.2015;Jack;2;Ayla;4;Burghausen;3;3;3
08.04.2015;Frodo;12;Lilu;1;Burghausen;3;3;2
08.04.2015;Amore;13;Marketa;3;Burghausen;3;3;3
07.05.2015;Shorty;28;Jazu;20;Burghausen;2;2;2
19.03.2016;Jack;2;Ayla;4;Burghausen;10;4;2
28.03.2016;Amore;13;Jazu;20;Burghausen;4;4;4
21.05.2016;Luna;32;Francesco;34;Burghausen;4;0;0
19.03.2016;Zeudi;25;Saba;22;Kuchl;4;3;3
20.04.2016;Salem;17;Semir;24;Kuchl;4;3;3
26.04.2016;Frodo;12;Tara;15;Kuchl;4;1;1
13.03.2017;Shorty;28;Lilu;1;Burghausen;4;4;4
13.03.2017;Amore;13;Ayla;4;Burghausen;4;3;2
05.04.2017;Jack;2;Jazu;20;Burghausen;4;4;4
25.05.2017;Flumisel;49;Marketa;3;Burghausen;1;0;0
14.04.2017;Salem;17;Semir;24;Kuchl;5;3;3
13.03.2017;Zeudi;25;Saba;22;Kuchl;7;4;3
14.04.2017;Peter;47;Liethe;38;Kuchl;3;3;2
24.04.2017;Vitorio;35;Nova;48;Kuchl;3;2;0
01.05.2017;Frodo;12;Greta;16;Kuchl;4;1;0
03.04.2018;Luna;32;Jazu;20;Burghausen;4;4;3
03.04.2018;Jack;2;Ayla;4;Burghausen;4;3;3
03.04.2018;Frodo;12;Lilu;1;Burghausen;4;4;3
20.04.2018;Camillo;93;Francesco;34;Burghausen;3;3;3
06.04.2018;Zeudi;25;Filou;23;Kuchl;4;3;3
15.04.2018;Vitorio;35;Saba;22;Kuchl;4;2;2
20.04.2018;Peter;47;Nova;48;Kuchl;4;4;3
22.04.2018;Salem;17;Greta;16;Kuchl;4;4;2
27.04.2018;Marvin;87;Pino;71;Kuchl;3;3;2
26.04.2018;Leonardo;79;Liethe;38;Kuchl;3;2;2
27.03.2019;Luna;32;Jazu;20;Burghausen;5;5;5
27.03.2019;Frodo;12;Marketa;3;Burghausen;4;4;4
02.04.2019;Sommo;42;Francesco;34;Burghausen;4;1;1
18.04.2019;Camillo;93;Alpha;11;Burghausen;4;4;4
18.04.2019;Gemini;88;Jojo;143;Burghausen;2;2;2
17.05.2019;Jack;2;Ayla;4;Burghausen;4;0;0
27.03.2019;Gemini;88;Quasimodo;351;Kuchl;1;0;0
01.04.2019;Zeudi;25;Filou;23;Kuchl;4;4;4
01.04.2019;Peter;47;Nova;48;Kuchl;4;4;2
17.04.2019;Dante;99;Quasimodo;351;Kuchl;5;4;3
24.04.2019;Salem;17;Liethe;38;Kuchl;4;4;3
17.04.2019;Leonardo;79;Saba;22;Kuchl;5;4;3
01.05.2019;Marvin;87;Pino;71;Kuchl;3;3;3
01.05.2019;Vitorio;35;Greta;16;Kuchl;4;4;3
