bird_id;name;sex;generation;hatching_date;raising_type;status;parent_f;parent_f_id;parent_m;parent_m_id;population;breeding_area;missed_since;delivered_or_death_date;mortality_cause;mortality_verified
5;Mikesch;m;F0;2008-05-20;foster parent;dead;n.a.;n.a.;n.a.;n.a.;wild population;Burghausen;;2014-12-29;other;verified
6;Gonzo;f;F0;2008-05-17;foster parent;dead;n.a.;n.a.;n.a.;n.a.;wild population;Burghausen;;2014-09-17;electrocution;verified
7;Julio;m;F0;2009-04-09;foster parent;dead;Henry;99004;Peppone 1;99019;wild population;Burghausen;;2014-09-17;electrocution;unverified
8;Bima;f;F0;2009-04-23;foster parent;dead;Maja;99017;Ouso;n.a.;wild population;Burghausen;2015-02-23;2015-04-23;unknown;unverified
9;Pepe;f;F0;2009-04-28;foster parent;dead;Lola;99005;Muck;99018;wild population;Burghausen;;2014-12-26;other;verified
10;Hella;m;F0;2010-04-25;foster parent;dead;Henry;99004;Ouso;n.a.;wild population;Burghausen;;2014-10-22;shot;verified
14;Balthasar;m;F0;2011-04-21;foster parent;dead;Camillo 1;99013;Benu;n.a.;wild population;Kuchl;2016-06-30;2016-08-30;unknown;unverified
15;Tara;m;F0;2011-04-27;foster parent;dead;Jule;n.a.;Goran;n.a.;wild population;Kuchl;;2016-10-08;shot;verified
16;Greta;m;F0;2011-04-24;foster parent;alive;Momo;99006;Tamri;99011;wild population;Kuchl;;;;
17;Salem;f;F0;2011-04-20;foster parent;alive;Raki;n.a.;Muck;99018;wild population;Kuchl;;;;
18;Iris;f;F0;2011-04-20;foster parent;dead;Meldos;n.a.;Lexi;n.a.;wild population;Kuchl;;2016-07-26;electrocution;verified
19;Senta;f;F0;2011-04-23;foster parent;dead;Camillo 1;99013;Benu;n.a.;wild population;Kuchl;2015-06-19;2015-08-19;unknown;unverified
20;Jazu;m;F1;2011-05-11;parent;alive;Tintifax;99021;Lilu;1;wild population;Burghausen;;;;
21;Remus;m;F0;2011-04-17;supplementation;dead;Arion;n.a.;Hombre;n.a.;wild population;Burghausen;;2015-01-08;predation;unverified
27;Artemide;m;F1;2012-05-18;parent;dead;Goja;99098;Ayla;4;wild population;Burghausen;;2016-04-28;electrocution;verified
29;Idefix;m;F0;2013-04-21;supplementation;alive;Twister;n.a.;Nero 1;n.a.;wild population;Kuchl;;;;
30;Amsel;f;F0;2013-04-22;supplementation;dead;Soho;n.a.;Muck;99018;wild population;Kuchl;2015-01-11;2015-03-11;unknown;unverified
32;Luna;f;F1;2013-06-05;parent;alive;Gonzo;6;Mikesch;5;wild population;Burghausen;;;;
33;Viola;f;F1;2013-06-11;parent;dead;Gonzo;6;Mikesch;5;wild population;Burghausen;2015-01-06;2015-03-06;unknown;unverified
34;Francesco;m;F1;2013-06-13;parent;alive;Gonzo;6;Mikesch;5;wild population;Burghausen;;;;
35;Vitorio;f;F0;2014-04-13;foster parent;alive;Raki;n.a.;Schurli;99010;wild population;Kuchl;;;;
36;Auron;f;F0;2014-04-13;foster parent;dead;Pebbles;n.a.;Nero 1;n.a.;wild population;Kuchl;;2016-06-26;unknown;verified
37;Terra;f;F0;2014-04-13;foster parent;dead;Twister;n.a.;Tamri;99011;wild population;Kuchl;2016-05-03;2016-07-03;unknown;unverified
38;Liethe;m;F0;2014-04-14;foster parent;alive;Raki;n.a.;Schurli;99010;wild population;Kuchl;;;;
39;Hiemi;m;F0;2014-04-14;foster parent;dead;Pebbles;n.a.;Nero 1;n.a.;wild population;Kuchl;2015-06-23;2015-08-23;unknown;unverified
40;Pietri;m;F0;2014-04-15;foster parent;dead;Soho;n.a.;Muck;99018;wild population;Kuchl;;2016-05-07;electrocution;verified
41;Ambra;m;F0;2014-04-15;foster parent;dead;Maja;99017;Lenus;n.a.;wild population;Kuchl;2017-09-10;2017-11-10;unknown;unverified
43;Tori;m;F0;2014-04-15;foster parent;dead;Twister;n.a.;Tamri;99011;wild population;allocation;2018-05-01;2018-07-01;unknown;unverified
44;Aris;f;F0;2014-04-17;foster parent;dead;Maja;99017;Lenus;n.a.;wild population;Kuchl;;2016-07-26;electrocution;verified
45;Ed;f;F0;2014-04-17;foster parent;dead;Pela;n.a.;José;99067;wild population;Kuchl;2015-10-03;2015-12-03;unknown;unverified
46;Blauge;f;F0;2014-04-18;foster parent;dead;Baluh;n.a.;Lucky;n.a.;wild population;Kuchl;2015-07-09;2015-09-09;unknown;unverified
47;Peter;f;F0;2014-04-18;foster parent;alive;Amato;99001;Niels;99007;wild population;Kuchl;;;;
48;Nova ;m;F0;2014-04-19;foster parent;alive;Benny;n.a.;Biene;n.a.;wild population;Kuchl;;;;
49;Flumisel;f;F0;2014-04-20;foster parent;dead;Baluh;n.a.;Lucky ;n.a.;wild population;Burghausen;2018-05-07;2018-07-07;unknown;unverified
52;Mario;m;F1;2014-05-15;parent;dead;Jack ;2;Marketa;3;wild population;Burghausen;;2014-09-17;electrocution;unverified
53;Luigi;f;F1;2014-05-18;parent;alive;Jack ;2;Marketa;3;wild population;Burghausen;;;;
54;Yoshi;m;F1;2014-05-21;parent;dead;Frodo;12;Ayla;4;wild population;Burghausen;;2014-09-17;electrocution;unverified
55;Nero;m;F1;2014-05-21;parent;dead;Amore;13;Julio;7;wild population;Burghausen;2015-05-11;2015-07-11;unknown;unverified
56;Kato;f;F1;2014-05-24;parent;dead;Amore;13;Julio;7;wild population;Burghausen;;2016-09-01;shot;verified
57;Pernille;f;F1;2014-05-26;parent;dead;Amore;13;Julio;7;wild population;Burghausen;2017-11-14;2018-01-14;unknown;unverified
58;Como;f;F1;2014-05-28;parent;delivered;Bima;8;Hella;10;wild population;Burghausen;;2015-04-23;;
59;Lyra;m;F1;2014-05-31;parent;temporary;Bima;8;Hella;10;wild population;Burghausen;;;;
60;Leopold;f;F1;2014-06-22;parent;alive;Pepe;9;Lilu;1;wild population;Burghausen;;;;
61;DaVinci;m;F1;2014-06-24;parent;dead;Pepe;9;Lilu;1;wild population;Burghausen;2015-01-08;2015-03-08;unknown;unverified
66;Ronja;m;F1;2014-06-09;parent;dead;Zeudi;25;Saba;22;wild population;Kuchl;2016-03-14;2016-05-14;unknown;unverified
67;Ombra;f;F1;2014-06-14;parent;dead;Salem;17;Semir;24;wild population;Kuchl;;2017-05-30;injury/illness;verified
68;Alpi;m;F0;2014-06-21;supplementation;dead;n.a.;n.a.;n.a.;n.a.;wild population;Kuchl;;2018-05-11;unknown;verified
69;Muchacho;m;F0;2015-04-08;foster parent;dead;Mulan 1;n.a.;Phoenix;n.a.;wild population;allocation;2015-10-26;2015-12-26;unknown;unverified
70;Fritz;f;F0;2015-04-09;foster parent;dead;Mulan 1;n.a.;Phoenix;n.a.;wild population;allocation;2016-07-14;2016-09-14;unknown;unverified
71;Pino;m;F0;2015-04-11;foster parent;alive;Baluh;n.a.;Lucky;n.a.;wild population;Kuchl;;;;
72;Bosco;m;F0;2015-04-11;foster parent;dead;Maja;99017;Lenus;n.a.;wild population;allocation;;2015-10-28;injury/illness;verified
74;Donatello;m;F0;2015-04-12;foster parent;dead;Meldos;n.a.;Baerli;n.a.;wild population;Burghausen;;2019-12-14;shot;unverified
75;Eywa;m;F0;2015-04-12;foster parent;dead;Twister;n.a.;Lexi;n.a.;wild population;allocation;2015-12-31;2016-03-01;unknown;unverified
76;Bobericio;m;F0;2015-04-12;foster parent;dead;Pebbles;n.a.;Nero 1;n.a.;wild population;allocation;2015-11-22;2016-01-22;unknown;unverified
77;Yuki;m;F0;2015-04-13;foster parent;dead;Camillo 1;99013;Mundel;n.a.;wild population;allocation;;2018-05-01;electrocution;verified
78;Tosca;f;F0;2015-04-13;foster parent;dead;Baluh;n.a.;Lucky;n.a.;wild population;allocation;2015-11-25;2016-01-25;unknown;unverified
79;Leonardo;f;F0;2015-04-13;foster parent;alive;Meldos;n.a.;Baerli;n.a.;wild population;Kuchl;;;;
80;Raphael;f;F0;2015-04-13;foster parent;dead;Sid;n.a.;Rookie;n.a.;wild population;allocation;2016-07-19;2016-09-19;unknown;unverified
81;Pandora;m;F0;2015-04-13;foster parent;dead;Benny;n.a.;Biene;n.a.;wild population;allocation;2017-05-09;2017-07-09;unknown;unverified
82;Pangaea;f;F0;2015-04-14;foster parent;dead;Benny;n.a.;Biene;n.a.;wild population;allocation;2015-12-31;2016-03-01;unknown;unverified
83;Tinto;m;F0;2015-04-14;foster parent;dead;Thor 1;n.a.;Diesel;n.a.;wild population;allocation;2016-07-30;2016-09-30;unknown;unverified
84;Gobi;m;F0;2015-04-14;foster parent;dead;Amato;99001;Niels;99007;wild population;allocation;2015-12-31;2016-03-01;unknown;unverified
85;Beteigeuze;m;F0;2015-04-14;foster parent;dead;Amato;99001;Niels;99007;wild population;allocation;;2015-12-23;unknown;verified
86;Japo;m;F0;2015-04-14;foster parent;dead;Alibaba;99012;Schurli;99010;wild population;allocation;2018-06-13;2018-08-13;unknown;unverified
87;Marvin;f;F0;2015-04-15;foster parent;alive;Thor 1;n.a.;Diesel;n.a.;wild population;Kuchl;;;;
88;Gemini;f;F0;2015-04-15;foster parent;alive;Raki;n.a.;Benu;n.a.;wild population;Burghausen;;;;
89;Carlito;m;F0;2015-04-15;foster parent;dead;Pebbles;n.a.;Nero 1;n.a.;wild population;allocation;;2015-10-30;injury/illness;verified
90;Hannibal;f;F0;2015-04-15;foster parent;alive;Sid;n.a.;Rookie;n.a.;wild population;allocation;;;;
91;Cosimo;m;F0;2015-04-16;foster parent;dead;Camillo 1;99013;Mundel;n.a.;wild population;allocation;2015-10-19;2015-12-19;unknown;unverified
92;Orion;f;F0;2015-04-16;foster parent;dead;Mulan 1;n.a.;Phoenix;n.a.;wild population;allocation;2015-11-25;2016-01-25;unknown;unverified
93;Camillo;f;F0;2015-04-16;foster parent;alive;Pela;n.a.;José;99067;wild population;Burghausen;;;;
94;Pinocchio;f;F0;2015-04-17;foster parent;dead;Thor 1;n.a.;Diesel;n.a.;wild population;allocation;;2018-05-01;electrocution;verified
95;Peppone;m;F0;2015-04-17;foster parent;dead;Pela;n.a.;José;99067;wild population;allocation;;2017-04-25;electrocution;verified
96;Magrathea;m;F0;2015-04-17;foster parent;dead;Amato;99001;Niels;99007;wild population;allocation;2015-12-31;2016-03-01;unknown;unverified
97;Fiore;m;F0;2015-04-17;foster parent;dead;Benny;n.a.;Biene;n.a.;wild population;allocation;2015-11-25;2016-01-25;unknown;unverified
99;Dante;f;F0;2015-04-18;foster parent;dead;Gimli;n.a.;Nala;n.a.;wild population;Kuchl;;2019-12-19;electrocution;unverified
100;Sparky;f;F0;2015-04-20;foster parent;dead;Thor 1;n.a.;Diesel;n.a.;wild population;allocation;2017-08-18;2017-10-18;unknown;unverified
101;Hans;m;F1;2015-05-19;parent;dead;Jack;2;Ayla;4;wild population;Burghausen;2017-08-07;2017-10-07;unknown;unverified
102;Tonio;m;F1;2015-05-21;parent;dead;Jack;2;Ayla;4;wild population;Burghausen;2015-08-15;2015-10-15;unknown;unverified
103;Rocco;f;F1;2015-05-23;parent;dead;Jack;2;Ayla;4;wild population;Burghausen;;2017-03-08;during human care;verified
104;Konrad;m;F1;2015-05-24;parent;dead;Frodo;12;Lilu;1;wild population;Burghausen;2015-11-22;2016-01-22;unknown;unverified
105;Felipe;f;F1;2015-05-26;parent;dead;Frodo;12;Lilu;1;wild population;Burghausen;2015-12-03;2016-02-03;unknown;unverified
106;Wolfi;f;F1;2015-05-27;parent;dead;Amore;13;Marketa;3;wild population;Burghausen;;2015-08-25;injury/illness;verified
107;Coco;f;F1;2015-05-29;parent;dead;Amore;13;Marketa;3;wild population;Burghausen;;2015-12-14;injury/illness;verified
108;Schrolli;m;F1;2015-05-31;parent;dead;Amore;13;Marketa;3;wild population;Burghausen;;2015-08-29;injury/illness;verified
109;Kiki;m;F2;2015-06-16;parent;dead;Shorty;28;Jazu;20;wild population;Burghausen;2015-10-29;2015-12-29;unknown;unverified
110;Rigi;f;F2;2015-06-18;parent;dead;Shorty;28;Jazu ;20;wild population;Burghausen;;2015-09-20;injury/illness;unverified
111;Fanti;m;F1;2015-05-03;parent;dead;Zeudi;25;Saba;22;wild population;Kuchl;2017-08-22;2017-10-22;unknown;unverified
112;Fynn;f;F1;2015-05-06;parent;alive;Zeudi;25;Saba;22;wild population;Kuchl;;;;
113;Felix;f;F1;2015-05-07;parent;dead;Zeudi;25;Saba;22;wild population;Kuchl;;2015-08-07;injury/illness;verified
114;Frieda;f;F1;2015-05-08;parent;dead;Zeudi;25;Saba;22;wild population;Kuchl;;2018-11-21;shot;verified
115;Theo;m;F1;2015-05-14;parent;dead;Salem;17;Semir;24;wild population;Kuchl;;2018-11-21;shot;verified
116;Mika;m;F1;2015-05-17;parent;dead;Salem;17;Semir;24;wild population;Kuchl;;2018-06-13;electrocution;verified
